1, 32, 27
2, 33, 27
3, 31, 25
4, 32, 25
5, 32, 25
6, 31, 26
7, 30, 26
8, 33, 26
9, 31, 25
10, 33, 25
11, 32, 23
12, 30, 26
13, 33, 24
14, 32, 26
15, 32, 24
16, 30, 23
17, 31, 25
18, 31, 26
19, 31, 25
20, 28, 25
21, 29, 26
22, 30, 26
23, 30, 24
24, 31, 25
25, 29, 24
26, 32, 26
27, 33, 26
28, 32, 26
29, 32, 26
30, 30, 24
31, 32, 27
32, 32, 26
33, 32, 26
34, 33, 26
35, 31, 26
36, 31, 26
37, 33, 27
38, 32, 25
39, 32, 27
40, 30, 25
41, 32, 25
42, 32, 26
43, 31, 27
44, 32, 26
45, 32, 27
46, 32, 27
47, 33, 28
48, 33, 28
49, 33, 28
50, 30, 23
51, 32, 26
52, 31, 25
53, 33, 25
54, 32, 24
55, 31, 25
56, 30, 25
57, 32, 26
58, 33, 28
59, 32, 25
60, 32, 25
61, 32, 27
