Date,Max,Min,Avg,day_of_the_year,sol_dec,latitude,longitude,altitude,net_rad,net_in_sol_rad,net_out_lw_rad,sol_rad,daylight_hours,sunshine hours,et_rad,sunset_hour_angle,ird,cs_rad,avp,latitud(rad)
1/6/2022,32,27,29.5,152,0.38500529278333917,1.288582,103.869204,9.108778,19.582012005035917,19.582311431854233,0.00029942681831469594,25.43157328812238,11.93036466081484,12.2311,33.34834420748895,1.5616810822109661,0.9714448606060142,25.01592692380576,3.566507608743331,-0.022489999
2/6/2022,33,27,30.0,153,0.387324187423698,,,,19.557156465755508,19.557481946469174,0.0003254807136659771,25.39932720320672,11.929900291443714,12.2317,33.304090431749046,1.5616202964024293,0.9711643655808343,24.98273039647223,3.566507608743331,
3/6/2022,31,25,28.0,154,0.3895283095481827,,,,19.533633087168585,19.533932170202625,0.0002990830340402574,25.36874307818523,11.92945809051083,12.2325,33.26169677894491,1.5615624124356726,0.9708924151764569,24.950929221757736,3.1688149728170982,
4/6/2022,32,25,28.5,155,0.3916170060278388,,,,19.510925947598025,19.51125351646757,0.00032756886954562797,25.33929028112671,11.92903830756159,12.2331,33.22119909155065,1.561507462976113,0.9706290899776556,24.920550286535807,3.1688149728170982,
5/6/2022,32,25,28.5,156,0.3935896579368216,,,,19.488924993294667,19.48925257683651,0.0003275835418413345,25.310717632255205,11.928641181479207,12.2333,33.18263145177931,1.5614554792934896,0.9703744680133702,24.89161915723773,3.1688149728170982,
6/6/2022,31,26,28.5,157,0.3954456807357972,,,,19.46851731220351,19.468805578638122,0.00028826643461160654,25.284163089140417,11.92826694004923,12.2339,33.14602615494571,1.561406491204861,0.9701286247335839,24.864160059870976,3.362540496522866,
7/6/2022,30,26,28.0,158,0.3971845244451541,,,,19.449130124314692,19.44939470281412,0.00026457849943098784,25.25895415949886,11.927915799539138,12.2344,33.111413684499105,1.561360527019574,0.969891632986966,24.83819586129016,3.362540496522866,
8/6/2022,33,26,29.5,159,0.39880567380797377,,,,19.430907557196974,19.43125066175362,0.00034310455664590743,25.235390469809897,11.927587964294514,12.235,33.07882268871782,1.5613176134864033,0.9696635629992859,24.813748051714786,3.362540496522866,
9/6/2022,31,25,28.0,160,0.40030864844271274,,,,19.413663028578764,19.413962222592986,0.0002991940142227052,25.212937951419462,11.927283626353343,12.2353,33.04827995905729,1.5612777757430623,0.9694444823526029,24.790836728487236,3.1688149728170982,
10/6/2022,33,25,29.0,161,0.40169300298555,,,,19.397718853642093,19.398077809599453,0.0003589559573594247,25.192308843635654,11.927002965079877,12.2358,33.019810410142874,1.561241037268276,0.969234455965241,24.769480581064578,3.1688149728170982,
11/6/2022,32,23,27.5,162,0.4029583272223576,,,,19.38251407942089,19.382864918102985,0.0003508386820941845,25.172551841692187,11.926746146819449,12.2358,32.99343706139785,1.561207419836598,0.9690335460725514,24.749696877236982,2.8103575430330863,
12/6/2022,30,26,28.0,163,0.40410424621025626,,,,19.369243197176868,19.369507842780997,0.00026464560413041495,25.15520499062467,11.92651332457562,12.2364,32.969181020297626,1.5611769434761478,0.9688418122084714,24.73150145056606,3.362540496522866,
13/6/2022,33,24,28.5,164,0.4051304203887189,,,,19.35668578483601,19.35705932682454,0.0003735419885293636,25.139038086785117,11.926304637710896,12.2367,32.94706146724063,1.5611496264294347,0.9686593111878827,24.714908689035887,2.9848945293846705,
14/6/2022,32,26,29.0,165,0.40603654568018976,,,,19.345215647207798,19.345530142813306,0.0003144956055065602,25.12406512053676,11.926120211672174,12.2367,32.92709564202647,1.5611254851174188,0.9684860970897766,24.69993152490974,3.362540496522866,
